EBOOK	TITLE	AUTHOR	MISC
12425	De Orbe Novo, Vol. 1 of 2	by Various	[Subtitle: The Eight Decades of Peter Martyr D'Anghera]
12426	Routledge's Manual of Etiquette	by George Routledge & Sons
12427	Neutral Rights and Obligations in the Anglo-Boer War	by Robert Granville Campbell
12428	The History of the Rise, Progress and Accomplishment of the Abolition of the African Slave Trade by the British Parliament, 1808, Vol. 1	by Thomas Clarkson
12429	The Last Leaf	by James Kendall Hosmer	[Subtitle: Observations, during Seventy-Five Years, of Men and Events in America and Europe]
12430	A Lecture on Physical Development, and its Relations to Mental and Spiritual Development, delivered before the American Institute of Instruction, at their Twenty-Ninth Annual Meeting, in Norwich, Conn., August 20, 1858	by S. R. Calthrop
12431	The Coquette, or The History of Eliza Wharton	by Hannah Webster Foster	[Author a.k.a. A Lady of Massachusetts]
12433	Narrative Of The Voyage Of H.M.S. Rattlesnake, Commanded By The Late Captain Owen Stanley During The Years 1846-1850, Vol. 1 of 2	by John MacGillivray
12434	Making of a Nation	by Charles Foster Kent and Jeremiah Whipple Jenks	[Subtitle: The Beginnings of Israel's History]
12435	Paginas Sudamericanas	by Helen Phipps
12436	The Night Horseman	by Max Brand
12438	The Mirror of Literature, Amusement, and Instruction, Vol. 12, No. 335, October 11, 1828	by Various
12439	Notes on Nursing	by Florence Nightingale	[Subtitle: What It Is, and What It Is Not]
12440	D'Ri and I	by Irving Bacheller
12441	The House of a Thousand Candles	by Meredith Nicholson
12442	In the Days of My Youth	by Amelia Ann Blandford Edwards
12443	Jute Industry, From Seed to Finished Cloth	by T. Woodhouse and P. Kilgour
12444	Toaster's Handbook, compiled by Peggy Edmund and Harold W. Williams	[Subtitle: Jokes Stories, and Quotations]
12445	The Water-Witch, or, The Skimmer of the Seas	by James Fenimore Cooper
12449	A Reputed Changeling	by Charlotte M. Yonge	[Subtitle: Three Seventh Years Two Centuries Ago]
12450	The Reason Why	by Elinor Glyn
12452	Fort Lafayette or, Love and Secession	by Benjamin Wood
12453	Miriam Monfort	by Catherine A. Warfield
12454	France At War	by Rudyard Kipling	[Subtitle: On the Frontier of Civilization]
12455	Legends of the Middle Ages	by H.A. Guerber	[Subtitle: Narrated with Special Reference to Literature and Art]
12456	The Troubadours	by H.J. Chaytor
12458	The Talisman	by George Borrow	[Subtitle: From the Russian of Alexander Pushkin, With Other Pieces]
12460	Pomona's Travels	by Frank R. Stockton	[Subtitle: A Series of Letters to the Mistress of Rudder Grange from her Former Handmaiden]
12461	Castles in the Air	by Baroness Emmuska Orczy
12462	A Compilation of the Messages and Papers of the Presidents, Vol. 6, Part 1 of 2, Abraham Lincoln
12463	A Compilation of the Messages and Papers of the Presidents, Vol. 4, Part 3 of 3, James Knox Polk
12464	A Compilation of the Messages and Papers of the Presidents, Vol. 4, Part 2 of 3, John Tyler
12465	Punch, Vol. 146, January 21, 1914	by Various
12466	Punch, Vol. 99, September 20, 1890	by Various
12467	Punch, Vol. 99, October 11, 1890	by Various
12468	Punch, Vol. 99, October 25, 1890	by Various
12469	Punch, Vol. 99, November 8, 1890	by Various
12470	A Perilous Secret	by Charles Reade
12471	What I Remember, Volume 2	by Thomas Adolphus Trollope
12472	Bataille De Dames	by Eugene Scribe and Ernest Legouve
12473	The German Classics of The Nineteenth and Twentieth Centuries, Vol. 6	by Various	[Subtitle: Masterpieces of German Literature Translated into English, In Twenty Volumes]
12474	Write It Right	by Ambrose Bierce	[Subtitle: A Little Blacklist of Literary Faults]
12475	Fires of Driftwood	by Isabel Ecclestone Mackay
12476	Ships That Pass In The Night	by Beatrice Harraden
12477	The Mirror of Literature, Amusement, and Instruction, Vol. 13, No. 356, February 14, 1829	by Various
12478	Books and Characters	by Lytton Strachey	[Subtitle: French and English]
12480	Clairvoyance and Occult Powers	by Swami Panchadasi
12481	Hero Tales of the Far North	by Jacob A. Riis
12482	The Mettle of the Pasture	by James Lane Allen
12483	Reminiscences of Scottish Life and Character	by Edward Bannerman Ramsay	[And a Memoir of Dean E. B. Ramsay by Cosmo Innes]
12484	The Knave of Diamonds	by Ethel May Dell
12485	The Three Brides	by Charlotte M. Yonge
12486	Indian Nullification of the Unconstitutional Laws of Massachusetts Relative to the Marshpee Tribe: or, The Pretended Riot Explained	by William Apes
12490	Scientific American Supplement, No. 492, June 6, 1885	by Various
12491	Twelve Types	by G. K. Chesterton
12492	Recent Tendencies in Ethics	by William Ritchie Sorley	[Subtitle: Three Lectures to Clergy Given at Cambridge]
12493	How John Became a Man	by Isabel C. Byrum	[Subtitle: Life Story of a Motherless Boy]
12494	Note-Book of Anton Chekhov	by Anton Pavlovich Chekhov
12495	Casey Ryan	by B. M. Bower
12496	The Mirror of Literature, Amusement, and Instruction, Vol. 10, No. 287, December 15, 1827	by Various
12497	The Mirror of Literature, Amusement, and Instruction, Vol. 19, No. 537, March 10, 1832	by Various
12498	The Mirror of Literature, Amusement, and Instruction, Vol. 13, No. 362, March 21, 1829	by Various
12504	A Selection from the Comedies of Marivaux	by Pierre Carlet de Chamblain de Marivaux
12505	Notes and Queries, April 6, 1850	by Various
12506	Critiques and Addresses	by Thomas Henry Huxley
12507	The History of the Rise, Progress and Accomplishment of the Abolition of the African Slave Trade by the British Parliament (1808), Vol. 2	by G. Lowes Dickinson
12508	The Meaning of Good -- A Dialogue	by G. Lowes Dickinson
12509	The Moon Rock	by Arthur J. Rees
12510	Targum	by George Borrow	[Subtitle: Metrical Translations from Thirty Languages and Dialects]
12511	Blackwood's Edinburgh Magazine, Vol. 53, No. 332, June 1843	by Various
12512	The Deacon of Dobbinsville	by John A. Morrison	[Subtitle: A Story Based on Actual Happenings]
12513	A Classification & Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library (Dewey Decimal Classification)	by Melvil Dewey
12514	A General History and Collection of Voyages and Travels, Vol. 4 by Robert Kerr	[Subtitle: Arranged in Systematic Order, Forming a Complete History of the Origin and Progress of Navigation, Discovery, and Commerce	by Sea and Land, from the Earliest Ages to the Present Time, Part 2, Book 2, History of the Discovery and Conquest of Mexico Continued) and Peru]
12515	Selected English Letters (15 - 19 Centuries)	by Various
12516	The Way of an Eagle	by Ethel M. Dell
12517	Punch, Vol. 99, November 15, 1890	by Various
12518	The Adventures of a Forty-niner	by Daniel Knower	[Subtitle: An Historic Description of California, with Events and Ideas of San Francisco and Its People in Those Early Days]
12519	The Virginia Housewife	by Mary Randolph	[Subtitle: Methodical Cook]
12520	Deadham Hard	by Lucas Malet	[Author a.k.a. Mary St. Leger Harrison]
12521	The Mirror of Literature, Amusement, and Instruction, Vol.20, No. 583, December 29, 1832	by Various
12522	An Account of the Extraordinary Medicinal Fluid, called Aether	by Matthew Turner
12523	Crusaders of New France: A Chronicle of the Fleur-de-Lis in the Wilderness	by William Bennett Munro	[Subtitle: The Chronicles of America Series, Vol. 4 of 50]
12524	Society for Pure English, Tract 5	by Brander Matthews & Robert Bridges
12525	Voyage of H.M.S. Rattlesnake, Vol. 2 of 2	by John MacGillivray	[Subtitle: Narrative Of The Voyage Of H.M.S. Rattlesnake, Commanded By The Late Captain Owen Stanley, R.N., F.R.S.  Etc. During The Years 1846-1850.  Including Discoveries And Surveys In New Guinea, The Louisiade Archipelago, Etc.  To Which Is Added The Account Of Mr. E.B. Kennedy's Expedition For The Exploration Of The Cape York Peninsula]
12526	Boy Scouts in Northern Wilds	by Archibald Lee Fletcher	[Subtitle: The Signal from the Hills]
12527	Kimono	by John Paris
12528	A Voyage Round the World, Vol. 1 of 4	by James Holman	[Subtitle: Including Travels in Africa, Asia, Australasia, America, etc., etc., from 1827 to 1832]
12529	Quiet Talks on Service	by S. D. Gordon
12530	The Mirror of Literature, Amusement, and Instruction, Vol. 20, No. 580, Supplemental	by Various
12531	The Mirror of Literature, Amusement, and Instruction, Vol. 20, No. 581, December 15, 1832	by Various
12532	The Shades of the Wilderness	by Joseph A. Altsheler	[Subtitle: A Story of Lee's Great Stand]
12535	The Witness For The Defense	by A. E. W. Mason
12536	Punch, Vol. 146, January 14, 1914	by Various
12537	Account of a Tour in Normandy, Vol. 1 of 2	by Dawson Turner
12538	Account of a Tour in Normandy, Vol. 2 of 2	by Dawson Turner
12539	Observations Upon The Windward Coast Of Africa	by Joseph Corry
12540	George Washington	by William Roscoe Thayer
12541	American Indian as Participant in the Civil War	by Annie Heloise Abel
12542	Ravenna, A Study	by Edward Hutton	[Illustrated by Harald Sund]
12543	The Mirror of Literature, Amusement, and Instruction, Vol. 20, No. 582, December 22, 1832	by Various
12544	The Love Letters of Dorothy Osborne to Sir William Temple, 1652-54
12545	Traditions of the Tinguian: A Study in Philippine Folk-Lore	by Fay-Cooper Cole
12548	The Secret Memoirs of the Courts of Europe: William II, Germany; Francis Joseph, Austria-Hungary, Volume 1 of 2	by Mme.  La Marquise de Fontenoy
12549	Recollections of a Long Life	by Theodore Ledyard Cuyler	[Subtitle: An Autobiography]
12550	The Mirror of Literature, Amusement, and Instruction, Vol. 19, No. 540, March 31, 1832	by Various
12551	The Mirror of Literature, Amusement, and Instruction, Vol. 19, No. 541, April 7, 1832	by Various
12552	The Mirror of Literature, Amusement, and Instruction, Vol. 19, No. 542, April 14, 1832	by Various
12553	The Mirror of Literature, Amusement, and Instruction, Vol. 19, No. 554, June 30, 1832	by Various
12554	The Mirror of Literature, Amusement, and Instruction, Vol. 19, No. 555, Supplement to Volume 19	by Various
12555	The Tragedy of The Korosko	by Arthur Conan Doyle
12556	A Master of Fortune	by C. J. Cutcliffe Hyne	[Subtitle: Being Further Adventures of Captain Kettle]	[Author a.k.a. Charles John Cutcliffe Wright Hyne]
12557	The Penalty	by Gouverneur Morris
12558	Snarleyyow, or, the Dog Fiend	by Captain Frederick Marryat
12559	The Automobile Girls At Washington	by Laura Dent Crane	[Subtitle: Checkmating the Plots of Foreign Spies]
12560	Port O' Gold	by Louis John Stellman	[Subtitle: A History-Romance of the San Francisco Argonauts]
12561	A Visit to the Holy Land, Egypt, and Italy	by Ida Pfeiffer
12563	Contemporary American Novelists (1900-1920)	by Carl Van Doren
12564	California Sketches, Second Series	by O. P. Fitzgerald
12565	Account of the English Colony in New South Wales, Vol. 1	by David Collins	[Subtitle: With Remarks On The Dispositions, Customs, Manners, Etc. of The Native Inhabitants Of That Country, To Which Are Added Some Particulars Of New Zealand]
12567	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 476, February 12, 1831	by Various
12568	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 477, February 19, 1831	by Various
12569	Through the Mackenzie Basin	by Charles Mair	[Subtitle: A Narrative of the Athabasca and Peace River Treaty Expedition of 1899]
12570	Starr, of the Desert	by B. M Bower
12571	The Boy Allies in the Trenches	by Clair Wallace Hayes	[Subtitle: Midst Shot and Shell Along the Aisne]
12572	The World's Greatest Books, Vol. 10 of 20	by Various
12573	The German Classics of The Nineteenth and Twentieth Centuries, Vol. 8	by Various	[Subtitle: Masterpieces of German Literature Translated into English. In Twenty Volumes]
12574	The Mirror of Literature, Amusement, and Instruction, Vol. 20, No. 556, July 7, 1832	by Various
12575	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 471, January 15, 1831	by Various
12576	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 478, February 26, 1831	by Various
12577	Strange True Stories of Louisiana	by George Washington Cable
12578	The Merchant of Venice	by William Shakespeare	[Subtitle: Arranged for Representation at the Princess's Theatre, with Historical and Explanatory Notes by Charles Kean, F.S.A.]
12580	Beneficiary Features of American Trade Unions	by James B. Kennedy
12581	Elbow-Room	by Charles Heber Clark	[Author a.k.a. Max Adeler]	[Subtitle: A Novel Without a Plot]
12582	The History of Rome, Vol 3, Books 27 to 36	by Titus Livius	[Subtitle: Literally Translated, with Notes and Illustrations	by D. Spillan and Cyrus Edmonds]
12583	The Mirror of Literature, Amusement, and Instruction, Vol. 20, No. 557, July 14, 1832	by Various
12584	Phebe, Her Profession	by Anna Chapin Ray	[Subtitle: A Sequel to Teddy: Her Book]
12585	Seaward Sussex	by Edric Holmes	[Subtitle: The South Downs from End to End]	[Illustrations by Mary M. Vigers]
12586	Satan	by Lewis Sperry Chafer
12587	The Man Who Laughs	by Victor Hugo	[Subtitle: A Romance of English History]
12588	Cavour	by Countess Evelyn Martinengo-Cesaresco	[Author a.k.a. Evelyn Lilian Hazeldine Carrington]
12589	Notes & Queries, No. 31, Saturday, June 1, 1850	by Various
12590	The Shadow of the Rope	by E. W. Hornung
12591	Tiger and Tom and Other Stories for Boys	by Various
12592	J. S. Le Fanu's Ghostly Tales, Volume 5
12593	The Atlantic Monthly, Vol. 11, No. 65, March, 1863	by Various
12594	Creative Impulse in Industry	by Helen Marot	[Subtitle: A Proposition for Educators]
12595	The Mirror of Literature, Amusement, and Instruction, Vol 10, No. 272, September 8, 1827	by Various
12596	The Purple Heights	by Marie Conway Oemler
12597	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 480, March 12, 1831	by Various
12598	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 481, March 19, 1831	by Various
12599	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 482, March 26, 1831	by Various
12600	Old and New Masters	by Robert Lynd
12601	The Mirror of Literature, Amusement, and Instruction, Vol. 19, No. 582, January 7, 1832	by Various
12605	Parish Papers	by Norman Macleod
12606	The Great Speeches and Orations of Daniel Webster	[Subtitle: With an Essay on Daniel Webster as a Master of English Style by Edwin P. Whipple]
12607	You Can Search Me	by Hugh McHugh	[Author a.k.a. George V. Hobart]
12608	Get Next!	by Hugh McHugh
12609	Back to the Woods	by Hugh McHugh	[Subtitle: The Story of a Fall from Grace]
12610	Nan Sherwood's Winter Holidays	by Annie Roe Carr	[Subtitle: Rescuing the Runaways]
12611	The Regent	by E. Arnold Bennett
12614	Punch, Vol. 161, April 9, 1919	by Various
12615	The Song of our Syrian Guest	by William Allen Knight
12616	Around Old Bethany	by Robert Lee Berry	[Subtitle: A Story of the Adventures of Robert and Mary Davis]
12617	Recollections of Calcutta for over Half a Century	by Montague Massey
12618	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 472, January 22, 1831	by Various
12619	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 473, January 29, 1831	by Various
12621	The Book of Dreams and Ghosts	by Andrew Lang
12622	Poems	by Denis Florence MacCarthy
12623	The Life and Adventures of Robinson Crusoe	by Daniel Defoe
12624	Our Lady Saint Mary	by J. G. H. Barry
12625	Architecture and Democracy	by Claude Fayette Bragdon
12626	The Earlier Work of Titian	by Claude Phillips
12628	Selections from the Prose Works of Matthew Arnold
12629	Language: An Introduction to the Study of Speech	by Edward Sapir
12630	The Adventures of Old Mr. Toad	by Thornton W. Burgess	[Illustrations by Harrison Cady]
12631	The Seven Little Sisters Who Live on the Round Ball That Floats in the Air	by Jane Andrews
12632	Yesterdays with Authors	by James T. Fields
12633	A Happy Boy	by Bjornstjerne Bjornson
12634	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 489, May 14, 1831	by Various
12635	The Philippine Islands, 1493-1898, Vol. 4, 1576-1582	by Various
12638	Public Lands and Agrarian Laws of the Roman Republic	by Andrew Stephenson
12639	Spanish Doubloons	by Camilla Kenyon
12640	Trial of Mary Blandy	by Various
12641	The Queen of the Air	by John Ruskin	[Subtitle: Being a Study of the Greek Myths of Cloud and Storm]
12642	The Lady's Album of Fancy Work for 1850	by Unknown
12643	Twenty	by Stella Benson
12644	Through the Iron Bars	by Emile Cammaerts	[Subtitle: Two Years of German Occupation in Belgium]
12645	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 483, April 2, 1831	by Various
12647	J. S. Le Fanu's Ghostly Tales, Volume 4
12648	The Beautiful Necessity	by Claude Fayette Bragdon	[Subtitle: Seven Essays on Theosophy and Architecture]
12649	Analyzing Character	by Katherine M. H. Blackford and Arthur Newcomb	[Subtitle: The New Science of Judging Men; Misfits in Business, the Home and Social Life]
12650	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 488, May 7, 1831	by Various
12651	The Humour of Homer and Other Essays	by Samuel Butler
12652	George Washington, Vol. 1	by Henry Cabot Lodge
12653	George Washington, Vol. 2	by Henry Cabot Lodge
12654	The Roll-Call	by Arnold Bennett
12655	The Boy Mechanic: Vol. 1	by Popular Mechanics	[Subtitle: 700 Things For Boys To Do]
12656	The boy Allies at Liege	by Clair W. Hayes	[Subtitle: Through Lines of Steel]
12657	The Later Works of Titian	by Claude Phillips
12658	Shapes of Clay	by Ambrose Bierce
12659	The Vertical City	by Fannie Hurst
12661	Canada under British Rule 1760-1900	by John G. Bourinot
12662	Four Girls at Chautauqua	by Pansy	[Author a.k.a. Isabella M. Alden]
12663	The Phantom Herd	by B. M. Bower
12664	Lyrics of Earth	by Archibald Lampman
12667	Lander's Travels	by Robert Huish
12668	Account of the English Colony in New South Wales, Vol. 2	by David Collins	[Subtitle: An Account Of The English Colony In New South Wales, From Its First Settlement In 1788 To August 1801]
12669	Marriage	by Susan Edmonstone Ferrier
12670	Landmarks in French Literature	by Giles Lytton Strachey
12671	An Easter Disciple	by Arthur Benton Sanford	[Subtitle: The Chronicle of Quintus, the Roman Knight]
12672	A Spinner in the Sun	by Myrtle Reed
12673	The Pretty Lady	 by Arnold E. Bennett
12674	Cock Lane and Common-Sense	by Andrew Lang
12675	Sketches And Tales Illustrative Of Life In The Backwoods Of New Brunswick	by Mrs. F. Beavan
12676	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 490, May 21, 1831	by Various
12677	Personality Plus	by Edna Ferber	[Subtitle: Some Experiences of Emma McChesney and Her Son, Jock]	[Illustrations by James Montgomery Flagg]
12678	The House of Mystery	by William Henry Irwin	[Subtitle: An Episode in the Career of Rosalie Le Grange, Clairvoyant]
12679	A Trip Abroad	by Don Carlos Janes	[Subtitle: An Account of a Journey to the Earthly Canaan and the Land of the Ancient Pharaohs; To Which Are Appended a Brief Consideration of the Geography and History of Palestine, and a Chapter on Churches of Christ in Great Britain]
12680	Children of the Ghetto	by Israel Zangwill	[Subtitle: A Study of a Peculiar People]
12681	Us and the Bottleman	by Edith Ballinger Price
12682	The Boy Allies in Great Peril	by Clair W. Hayes	[Subtitle: With the Italian Army in the Alps]
12683	Christine	by Alice Cholmondeley
12684	Dorian	by Nephi Anderson
12685	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 474, Supplementary	by Various
12686	Murder in Any Degree	by Owen Johnson
12687	The Title, A Comedy in Three Acts	by Arnold Bennett
12689	The High School Freshmen	by H. Irving Hancock	[Subtitle: Dick & Co.'s First Year Pranks and Sports]
12690	The High School Pitcher	by H. Irving Hancock	[Subtitle: Dick & Co. on the Gridley Diamond]
12691	The High School Left End	by H. Irving Hancock	[Subtitle: Dick & Co. Grilling on the Football Gridiron]
12692	The High School Captain of the Team	by H. Irving Hancock	[Subtitle: Dick & Co. Leading the Athletic Vanguard]
12694	History of the American Clock Business for the Past Sixty Years, and Life of Chauncey Jerome	by Chauncey Jerome	[Subtitle: Barnum's Connection with the Yankee Clock Business]
12695	String Quartet Opus 18 Number 4	by Ludwig von Beethoven	[Musical score in various formats]
12696	John Smith, U.S.A.	by Eugene Field
12697	The Splendid Idle Forties	by Gertrude Atherton	[Subtitle: Stories of Old California]
12699	The Works of Aristotle, the Famous Philosopher	by Anonymous	[Subtitle: Containing his Complete Masterpiece and Family Physician; His Experienced Midwife, His Book of Problems and His Remarks on Physiognomy]
12700	Ralph Waldo Emerson	by Oliver Wendell Holmes
12701	The Suffering of Being Kafka	by Sam Vaknin
12725	The Vale of Cedars	 by Grace Aguilar	[Subtitle: The Martyr]
12728	The High School Boys' Canoe Club	by H. Irving Hancock	[Subtitle: Dick & Co.'s Rivals on Lake Pleasant]	[High School Boys Vacation series Vol. 1]
12729	The High School Boys in Summer Camp	by H. Irving Hancock	[Subtitle: The Dick Prescott Six Training for the Gridley Eleven]	[High School Boys Vacation series Vol. 2]
12730	The High School Boys' Fishing Trip	by H. Irving Hancock	[Subtitle: Dick & Co. in the Wilderness]	[High School Boys Vacation series Vol. 3]
12731	The High School Boys' Training Hike	by H. Irving Hancock	[Subtitle: Making Themselves Hard as Nails]	[High School Boys Vacation series Vol. 4]
12732	Short-Stories	by Various
12733	Tokyo to Tijuana, Gabriele Departing America	by Steven Sills
12734	The Young Engineers in Colorado	by H. Irving Hancock	[Subtitle: At Railroad Building in Earnest]	[Young Engineers series, Book 1 of 5]
12735	The Grammar School Boys in Summer Athletics	by H. Irving Hancock	[Subtitle: Dick & Co. Make Their Fame Secure]	[Grammar School Boys series, Book 4 of 4]
12736	Masters of the English Novel	by Richard Burton	[Subtitle: A Study Of Principles And Personalities]
12737	Punch, or the London Charivari, Vol. 99, November 22, 1890	by Various
12738	Punch, or the London Charivari, Vol. 99, November 29, 1890	by Various
12739	Punch, or the London Charivari, Vol. 99, December 6, 1890	by Various
12740	An Autobiography of Buffalo Bill	by William Frederick Cody
12741	Risen from the Ranks	by Horatio Alger, Jr.	[Subtitle: Harry Walton's Success]
12742	Minstrelsy of the Scottish border, Vol. 1 of 3	by Walter Scott
12743	The Author's Craft	by Arnold Bennett
12744	In His Image	by William Jennings Bryan
12745	The World's Greatest Books, Vol 11	by Various	[Ancient and Medieval History]
12746	The Prose Works of Jonathan Swift, Vol. 4, Swift's Writings on Religion and the Church, Vol. 2
12747	The Story of Grettir The Strong	by Unknown
12748	Recollections of My Youth	by Ernest Renan
12750	Stolen Bacillus and Other Incidents	by H. G. Wells
12753	The Legends Of King Arthur And His Knights	by James Knowles
12754	Compilation of the Messages and Papers of the Presidents	by James D. Richardson	[Subtitle: Section 2 of Volume 8: Chester A. Arthur]
12755	Compilation of the Messages and Papers of the Presidents	by James D. Richardson	[Subtitle: Section 2 of Volume 6: Andrew Johnson]
12758	Library of the World's Best Mystery and Detective Stories	by Various
12759	The World's Best Poetry, Volume 4 of 10	by Various
12760	The Atlantic Monthly, Vol. 9, No. 53, March, 1862	by Various	[Subtitle: A Magazine Of Literature, Art, And Politics,]
12761	Blackwood's Edinburgh Magazine, Vol. 53, No. 329, March 1843	by Various
12762	The Story of a Piece of Coal	by Edward A. Martin	[Subtitle: What It Is, Whence It Comes, and Whither It Goes]
12763	Every Soul Hath Its Song	by Fannie Hurst
12764	The Forty-Niners	by Stewart Edward White	[Subtitle: A Chronicle of the California Trail and El Dorado]
12765	Geordie's Tryst	by Mrs. Milne Rae	[Subtitle: A Tale of Scottish Life]
12766	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 484, April 9, 1831	by Various
12767	The Beginnings of New England	by John Fiske	[Subtitle: Or the Puritan Theocracy in its Relations to Civil and Religious Liberty]
12768	Penny Plain	by Anna Buchan	[Author a.k.a. O. Douglas]
12769	How to Teach	by George Drayton Strayer and Naomi Norsworthy
12770	Study Of The Topography And Municipal History Of Praeneste	by Ralph Van Deman Magoffin
12771	Famous Americans of Recent Times	by James Parton
12772	Cowper	by Goldwin Smith
12773	Mr. Prohack	by E. Arnold Bennett
12774	Dave Darrin's First Year at Annapolis	by H. Irving Hancock	[Subtitle: Two Plebe Midshipmen at the United States Naval Academy, Annapolis series, Book 1 of 4]
12775	Dave Darrin's Fourth Year at Annapolis	by H. Irving Hancock	[Subtitle: Headed for Graduation and the Big Cruise, Annapolis, Book 4 of 4]
12776	Dave Darrin at Vera Cruz	by H. Irving Hancock	[Subtitle: Fighting with the U.S. Navy in Mexico, Dave Darrin series, Book 1 of 6, Sequel to Annapolis Series)]
12777	The Young Engineers in Nevada	by H. Irving Hancock	[Subtitle: Seeking Fortune on the Turn of a Pick, Young Engineers series, Book 3 of 5]
12778	The Young Engineers in Mexico	by H. Irving Hancock	[Subtitle: Fighting the Mine Swindlers, Young Engineers series, Book 4 of 5]
12779	Helen with the High Hand	by Arnold Bennett
12781	The Mirror of Literature, Amusement, and Instruction, Vol. 17, No. 485, April 16, 1831	by Various
12784	The Drapier's Letters	by Jonathan Swift	[Subtitle: Prose Works of Jonathan Swift, Volume 6]
12785	The Atlantic Monthly, Vol. 11, No. 64, February, 1863	by Various
12787	Introductory Course of Quantitative Chemical Analysis	by Henry P. Talbot
12788	Library Of The World's Best Literature, Ancient And Modern, Vol. 2	by Various
12789	Ladies Must Live	by Alice Duer Miller
12790	The True Woman	by Justin D. Fulton	[Subtitle: A Series of Discourses to Which Is Added Woman vs. Ballot]
12791	Wells Brothers, The Young Cattle Kings	by Andy Adams
12792	The Young Captives: A Story of Judah and Babylon	by Erasmus W. Jones	[Illustrated by Mark Hayne]
12793	Cobwebs From an Empty Skull	by Ambrose Bierce	[Author a.k.a. Dod Grile]	[Illustrated With Engravings By Dalziel Brothers]
12794	Judith	by Arnold Bennett
12797	The Log of a Cowboy	by Andy Adams	[Subtitle: A Narrative of the Old Trail Days]
12798	By Rock and Pool on an Austral Shore, and Other Stories	by Louis Becke
12799	Quiet Talks with World Winners	by S. D. Gordon
12800	Abraham Lincoln, Vol. 1	by John T. Morse
12801	Abraham Lincoln, Vol. 2	by John T. Morse
12803	Headlong Hall	by Thomas Love Peacock
12805	The Boy Allies in the Balkan Campaign	by Clair W. Hayes	[Subtitle: The Struggle to Save a Nation]
12806	Dick Prescott's Third Year at West Point	by H. Irving Hancock	[Subtitle: Standing Firm for Flag and Honor]
12807	Dick Prescotts's Fourth Year at West Point	by H. Irving Hancock	[Subtitle: Ready to Drop the Gray for Shoulder Straps]
12808	Frank on a Gun-Boat	by Harry Castlemon
12809	Quiet Talks about Jesus	by S. D. Gordon
12810	Uncle Sam's Boys with Pershing's Troops	by H. Irving Hancock	[Subtitle: Dick Prescott at Grips with the Boche]
12811	The Human Machine	by E. Arnold Bennett
12813	Quit Your Worrying!	by George Wharton James
12814	Philippine Folk Tales	by Various
12815	American Cookery	by Amelia Simmons	[Subtitle: The Art of Dressing Viands, Fish, Poultry, and Vegetables]
12816	The Devil's Pool	by George Sand	[Tr.: George B. Ives] [Illustrations by Edmond Rudaux]
12817	Robert Browning	by Edward Dowden
12818	Heathen Slaves and Christian Rulers	by Elizabeth Wheeler Andrew and Katharine Caroline Bushnell
12819	Dick Prescott's Second Year at West Point	by H. Irving Hancock	[Subtitle: Finding the Glory of the Soldier's Life]
12820	The Case For India	by Annie Besant	[Subtitle: The Presidential Address Delivered by Annie Besant at the Thirty-Second Indian National Congress Held at Calcutta 26th December 1917]
12821	The Brook Kerith	by George Moore	[Subtitle: A Syrian story]
12823	Joe's Luck	by Horatio Alger, Jr.	[Subtitle: Always Wide Awake]
12825	Punch, Vol. 99, August 9, 1890	by Various
12826	The Air Trust	by George Allan England
12827	The Rising of the Red Man	by John Mackie
12828	Two Ghostly Mysteries	by Joseph Sheridan LeFanu
12830	The Perfect Tribute	by Mary Raymond Shipman Andrews
12832	Said the Observer	by Louis J. Stellman
12833	What Dreams May Come	by Gertrude Franklin Horn Atherton	[Author a.k.a. Frank Lin]
12834	Social Pictorial Satire	by George du Maurier
12835	'Lena Rivers	by Mary J. Holmes
12836	Good Stories from The Ladies' Home Journal	by Various
12839	The Young Wireless Operator -- As a Fire Patrol	by Lewis E. Theiss	[Subtitle: The Story of a Young Wireless Amateur Who Made Good as a Fire Patrol]
12841	John Marr and Other Poems	by Herman Melville
12842	A Fairy Tale in Two Acts, Taken from Shakespeare, 1763	by William Shakespeare	[Subtitle: As It Is Performed at the Theatre-Royal in Drury Lane, London]
12843	Poems	by Ralph Waldo Emerson	[Subtitle: Household Edition]
12845	The World's Greatest Books, Vol 12	by Various	[Subtitle: Modern History]
12846	The First White Man of the West	by Timothy Flint	[Subtitle: Life And Exploits of Col. Dan'l Boone, the First Settler of Kentucky; Interspersed with Incidents in the Early Annals of the Country]
12847	Havelok The Dane	by Charles Whistler	[Subtitle: A Legend of Old Grimsby and Lincoln]
